	DCASE17-filename	label_id	time
0	YTFJUFWcRns_30.000_40.000.wav	/m/0k4j	[[0.0, 9.82]]
1	zMICvbCJ6zc_550.000_560.000.wav	/m/03qc9zr	[[2.5, 4.3]]
2	-IMRE_psvtI_30.000_40.000.wav	/m/04_sv	[[0.0, 10.0]]
3	iMp8nODaotA_580.000_590.000.wav	/m/04_sv	[[0.0, 9.716000000000001]]
4	BI2Tol64na0_30.000_40.000.wav	/m/07jdr	[[0.0, 1.768]]
5	4A1Ar1TIXIY_30.000_40.000.wav	/m/04qvtq	[[0.0, 10.0]]
6	4A1Ar1TIXIY_30.000_40.000.wav	/m/02mfyn	[[0.0, 10.0]]
7	xeHt-R5ScmI_0.000_10.000.wav	/m/06_fw	[[1.85, 3.51]]
8	0euD32aKYUs_10.000_20.000.wav	/m/05x_td	[[0.0, 7.47], [7.757999999999999, 10.0]]
9	amKDjVcs1Vg_30.000_40.000.wav	/m/0199g	[[0.0, 1.5], [5.0, 6.0], [7.0, 9.0]]
10	xTPmoYwgKf4_30.000_40.000.wav	/m/04_sv	[[0.0, 10.0]]
11	-21-RfxQscI_30.000_40.000.wav	/t/dd00134	[[0.0, 10.0]]
12	GBXRuYIvhfM_30.000_40.000.wav	/t/dd00134	[[0.0, 10.0]]
13	YyxlD_FwZXM_30.000_40.000.wav	/m/0dgbq	[[0.0, 10.0]]
14	H9xQQVv3ElI_30.000_40.000.wav	/m/012ndj	[[8.0, 10.0]]
15	H9xQQVv3ElI_30.000_40.000.wav	/m/04qvtq	[[0.0, 10.0]]
16	H9xQQVv3ElI_30.000_40.000.wav	/m/012n7d	[[0.0, 10.0]]
17	-nJoxcmxz5g_30.000_40.000.wav	/m/03qc9zr	[[1.0, 4.0]]
18	_HGGCwtyNxM_30.000_40.000.wav	/t/dd00134	[[0.0, 0.0]]
19	9EsgN-WS2qY_30.000_40.000.wav	/m/07r04	[[0.0, 10.0]]
20	9EsgN-WS2qY_30.000_40.000.wav	/m/02rhddq	[[1.729, 9.947000000000001]]
21	eIMjkADTWzA_60.000_70.000.wav	/m/04qvtq	[[0.0, 3.48], [3.48, 10.0]]
